"","language","glottocode","family","area","longitude","latitude","Rec.P","RecRef.I","RecRef.D","ContentQInitial","ContentQNonInitial","NumNoun","NounNum","DegWordAdj","AdjDegWord","GenN","NGen","AdjNoun","NounAdj","PossAff.P","PossPre","PossSuff","ComInst","NPconj","NVconj","DefArt","IndefArt","PronomS","IndefPron","PronDem","DemDis","PronAdnDem","IntRef","GenPron","Gender","Gender.n","NegMorph","NPlural","OrdNum","DistNum","AdpN","DemN","NegV","OXV","RelN","Passive","Optative","Prohibitive","Imperative","AdpPM","PolarQ","PossClass","PossLocus","Reduplication","Future","Past","Aspect","Vper","SOV","Head.driven.agr","Juxtaposition","Governed","Cons.state","agr.class","mixed","Agr.Gender","Agr.Number","Agr.State","Agr.Case","Agr.Def","Agr.none","NPHeadlessness","ClausePosition","NumClass.n","Alignment","VInflCat"
"104","Ngiyambaa","wang1291","Wiraduric","0",145.5,-31.75,"TRUE","FALSE","TRUE","TRUE","FALSE",NA,NA,NA,NA,"TRUE","FALSE","TRUE","TRUE","TRUE",NA,NA,"Differentiation",NA,NA,"No definite or indefinite article","No definite or indefinite article","Subject clitics on variable host","Interrogativebased","Related for all demonstratives","Twoway contrast","Identical","Differentiated","No gender distinctions","No gender","None","Negative particle","Plural suffix","None",NA,"No adpositions","DemonstrativeNoun","NegV","No dominant order","Mixed","Absent","Inflectional optative absent","Special imperative  special negative","Second person numberneutral","No adpositions","Second position","Two classes","Dependent marking","Productive full and partial reduplication","Inflectional future exists","Present no remoteness distinctions","No grammatical marking","Both the A and P arguments",NA,"FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,"0","SvAtrxP",NA
"105","Oneida","onei1249","Northern Iroquoian","0",-75.6666666667,43,"TRUE","TRUE","FALSE","TRUE","FALSE",NA,NA,"TRUE","FALSE","TRUE","TRUE",NA,NA,"FALSE","TRUE","FALSE",NA,NA,NA,"Definite word distinct from demonstrative","No indefinite but definite article","Subject affixes on verb",NA,"Unrelated","Twoway contrast","Identical","Differentiated","No gender distinctions","Semantic","Three","Negative particle","Mixed morphological plural",NA,NA,"No adpositions","DemonstrativeNoun","OptDoubleNeg","No dominant order","Internally headed","Absent","Inflectional optative absent","Normal imperative  special negative","Second person numberneutral","No adpositions","Second position","No possessive classification","Head marking","No productive reduplication","Inflectional future exists","No past tense","Grammatical marking","Both the A and P arguments","No dominant order","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"8"
"106","Paraguayan Guaraní","para1311","Tupi-Guaraní","0",-56,-26,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE",NA,NA,"TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","Differentiation","And different from with","Identity","Definite word distinct from demonstrative","No indefinite but definite article","Subject affixes on verb","Mixed","Unrelated","Threeway contrast","Different stem",NA,"No gender distinctions","No gender","None","Double negation","Plural word","Firstoneth twoth threeth",NA,"Postpositions","DemonstrativeNoun","ObligDoubleNeg","VOX",NA,"Absent","Inflectional optative present","Special imperative  special negative","Second singular","Pronouns only",NA,"No possessive classification","Head marking",NA,"Inflectional future exists","Present no remoteness distinctions","No grammatical marking","Both the A and P arguments","SVO","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0","SvAtrvP",NA
"107","Pirahã","pira1253",NA,"0",-62,-7,"FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE",NA,NA,"TRUE","FALSE","FALSE","TRUE",NA,NA,NA,"Differentiation",NA,"Identity","No definite or indefinite article","No definite or indefinite article",NA,"Mixed","Related to remote demonstratives","Twoway contrast","Identical","Differentiated","3rd person only but also nonsingular","Semantic","Four","Negative affix","No plural",NA,NA,"Postpositions","NounDemonstrative","VNeg","XOV",NA,"Absent","Inflectional optative absent",NA,"No secondperson imperatives","No person marking","Final","No possessive classification","No marking","No productive reduplication","No inflectional future","No past tense","Grammatical marking","Both the A and P arguments","SOV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","SvAtrvP",NA
"108","Plateau Malagasy","plat1254",NA,"0",47,-20,"TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE",NA,NA,"FALSE","TRUE","FALSE","TRUE","TRUE",NA,NA,NA,"And different from with",NA,"Definite word distinct from demonstrative","No indefinite but definite article","Obligatory pronouns in subject position","Genericnounbased",NA,"Five or moreway contrast","Identical","Identical","No gender distinctions","No gender","None","Negative particle","No plural","First twoth threeth","Marked by following word","Prepositions","Demonstrative before and after Noun","NegV","VOX","NounRelative clause","Present","Inflectional optative absent","Special imperative  special negative","Second person numberneutral","Pronouns only","In either of two positions","No possessive classification","Other","Productive full and partial reduplication","No inflectional future","No past tense","Grammatical marking","No person marking","VOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Popti'","popt1235","Greater Kanjobalan","0",-91.6666666667,15.6666666667,"TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","Differentiation","And identical to with","Differentiation","No definite but indefinite article","Indefinite word same as one","Mixed","Interrogativebased","Unrelated","Twoway contrast",NA,NA,"No gender distinctions",NA,NA,"Negative particle","Plural word","Firstoneth twoth threeth",NA,"Prepositions","NounDemonstrative","NegV",NA,"NounRelative clause","Present","Inflectional optative absent","Special imperative  normal negative","Second singular and second plural","Pronouns and nouns","No question particle","No possessive classification","Head marking","Productive full and partial reduplication","No inflectional future","No past tense","Grammatical marking","Both the A and P arguments","VSO","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SvAtrvP","5"
"110","Rama","rama1270","Rama","0",-83.75,11.75,"FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE",NA,NA,NA,"Definite word distinct from demonstrative","Indefinite word distinct from one","Subject affixes on verb",NA,"Related for all demonstratives","Twoway contrast",NA,"Differentiated","No gender distinctions","No gender","None","Negative particle","Plural clitic",NA,NA,"Postpositions","DemonstrativeNoun","Type 1  Type 4","No dominant order",NA,"Absent","Inflectional optative absent","Special imperative  special negative","Second singular and second plural","Pronouns only",NA,"Two classes","Other",NA,"Inflectional future exists","Present no remoteness distinctions","No grammatical marking","Only the A argument","SOV","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mixed","3"
"111","Rapanui","rapa1244","Malayo-Polynesian","0",-109.366666667,-27.1166666667,"TRUE","TRUE","FALSE",NA,NA,"TRUE","FALSE",NA,NA,"FALSE","TRUE","FALSE","TRUE",NA,NA,NA,"Differentiation",NA,NA,"Definite word distinct from demonstrative","Indefinite word same as one","Optional pronouns in subject position",NA,"Related to remote demonstratives","Threeway contrast","Identical","Identical","No gender distinctions","No gender","None","Negative word unclear if verb or particle","Plural word","First twoth threeth",NA,"Prepositions","NounDemonstrative","OptDoubleNeg",NA,"NounRelative clause","Absent","Inflectional optative absent","Normal imperative  normal negative","No secondperson imperatives","No person marking","Initial","Two classes","Dependent marking","Full reduplication only","No inflectional future","Present no remoteness distinctions","No grammatical marking","No person marking","VSO","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"112","Russian","russ1263","Balto-Slavic","0",38,56,"TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE",NA,NA,"Mixed","And different from with","Identity","No definite or indefinite article","No definite or indefinite article","Obligatory pronouns in subject position","Interrogativebased",NA,"Twoway contrast","Identical","Differentiated","3rd person singular only","Semantic and formal","Three","Negative particle","Plural suffix","First second threeth","Marked by preceding word","Prepositions","DemonstrativeNoun","NegV",NA,"NounRelative clause","Present","Inflectional optative absent","Normal imperative  normal negative","Second singular and second plural","No person marking","Second position","No possessive classification","Dependent marking","No productive reduplication","No inflectional future","Present no remoteness distinctions","Grammatical marking","Only the A argument","SVO","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,"flexibleadjacent","0","SvAtrxP","6"
"113","San Miguel El Grande Mixtec","sanm1295","Mixtecan","0",-97.5833333333,17.05,NA,NA,NA,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE",NA,NA,NA,NA,"Identity","No definite or indefinite article","No definite or indefinite article","Mixed",NA,"Unrelated","Twoway contrast",NA,"Identical","No gender distinctions","Semantic","Five or more","Negative particle","Plural word","None",NA,"Prepositions","NounDemonstrative","NegV","VOX","NounRelative clause","Absent","Inflectional optative absent","Normal imperative  special negative","Second person numberneutral","Pronouns only","No question particle","No possessive classification","No marking",NA,"Inflectional future exists","No past tense","Grammatical marking","Only the A argument","VSO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"114","Sango","sang1328",NA,"0",18,5,"FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE",NA,NA,"Identity","And identical to with","Identity","Definite word distinct from demonstrative",NA,"Subject affixes on verb","Genericnounbased","Unrelated",NA,NA,NA,"No gender distinctions","No gender","None","Negative particle","Plural prefix",NA,NA,"Prepositions","NounDemonstrative","VNeg","VOX","NounRelative clause","Absent",NA,"Normal imperative  normal negative","No secondperson imperatives","No person marking","Final","No possessive classification","Dependent marking",NA,"No inflectional future","No past tense","No grammatical marking","No person marking","SVO","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SvAtrvP","1"
"115","Slave","slav1253",NA,"0",-125,67,"TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE",NA,NA,"TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","Differentiation","And different from with","Differentiation","No definite or indefinite article","No definite or indefinite article","Subject affixes on verb","Genericnounbased","Related for nonhuman reference","Twoway contrast","Identical",NA,"No gender distinctions",NA,NA,"Negative particle","Plural suffix","First twoth threeth",NA,"Postpositions","DemonstrativeNoun","VNeg","XOV","Mixed","Present","Inflectional optative absent",NA,"No secondperson imperatives","Pronouns only","Initial","Three to five classes","Head marking","No productive reduplication","Inflectional future exists","Present 23 remoteness distinctions","Grammatical marking","Both the A and P arguments","SOV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","South-Eastern Ju","juho1239",NA,"0",21,-19,NA,NA,NA,"FALSE","TRUE","FALSE","TRUE",NA,NA,"TRUE","FALSE","FALSE","TRUE","TRUE",NA,NA,"Identity","And different from with","Differentiation","Definite word distinct from demonstrative","Indefinite word distinct from one","Obligatory pronouns in subject position",NA,"Related by gender markers","Threeway contrast",NA,"Identical","3rd person only but also nonsingular","Semantic and formal","Five or more","Negative word unclear if verb or particle","Plural clitic",NA,NA,"Postpositions","NounDemonstrative","NegV",NA,"NounRelative clause","Absent","Inflectional optative absent","Normal imperative  special negative","No secondperson imperatives","No person marking","Second position","Three to five classes","No marking",NA,"No inflectional future","No past tense","Grammatical marking","No person marking","SVO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Southern Yukaghir","sout2750",NA,"0",150.833333333,65.75,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE",NA,NA,"TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","Differentiation","And different from with","Differentiation","No definite or indefinite article","No definite or indefinite article","Subject affixes on verb","Interrogativebased","Unrelated","Twoway contrast","Different stem",NA,"No gender distinctions","No gender","None","Negative affix","Plural suffix","First twoth threeth","No distributive numerals","Postpositions","DemonstrativeNoun","NegV",NA,"Relative clauseNoun","Absent","Inflectional optative absent","Normal imperative  special negative","Second singular and second plural","No person marking","No question particle","Two classes","No marking","No productive reduplication","Inflectional future exists","No past tense","No grammatical marking","Only the A argument","SOV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ungrammatical",NA,NA,NA,NA
"118","Spanish","stan1288","Italic-Celtic","0",-4,40,"TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE",NA,NA,NA,"And different from with","Identity","Definite word distinct from demonstrative","Indefinite word same as one","Subject affixes on verb","Special","Unrelated","Threeway contrast","Identical","Differentiated","In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural suffix","First second threeth","No distributive numerals","Prepositions","DemonstrativeNoun","NegV","VOX","NounRelative clause","Present","Inflectional optative absent","Special imperative  normal negative","Second singular and second plural","No person marking","No question particle","No possessive classification","Dependent marking","No productive reduplication","Inflectional future exists","Present no remoteness distinctions","Grammatical marking","Both the A and P arguments","SVO","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE",NA,NA,"0","SvAtrxP","5"
"119","Standard Indonesian","indo1316","Malayo-Polynesian","0",106,0,"TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE",NA,NA,"Mixed","And identical to with","Identity","Demonstrative word used as definite article","No indefinite but definite article","Obligatory pronouns in subject position","Genericnounbased","Unrelated","Twoway contrast","Identical","Identical","No gender distinctions","No gender","None","Negative word unclear if verb or particle","Plural complete reduplication","Firstoneth twoth threeth","No distributive numerals","Prepositions","NounDemonstrative","NegV","VOX","NounRelative clause","Present","Inflectional optative absent","Normal imperative  special negative","No secondperson imperatives","No person marking","In either of two positions","No possessive classification","No marking","Full reduplication only","No inflectional future","No past tense","No grammatical marking","Only the P argument","SVO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Supyire Senoufo","supy1237","Northern Senufo","0",-5.58333333333,11.5,"TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE",NA,NA,"TRUE","FALSE","FALSE","TRUE","TRUE",NA,NA,"Mixed",NA,"Differentiation","Definite affix","Indefinite word distinct from one","Obligatory pronouns in subject position",NA,"Related for all demonstratives","No distance contrast","Identical","Differentiated","3rd person only but also nonsingular","Semantic and formal","Five or more","Negative particle","Plural suffix","First twoth threeth","Marked by reduplication","Postpositions","DemonstrativeNoun","OptDoubleNeg","OVX","Correlative","Absent","Inflectional optative absent","Normal imperative  special negative","Second singular","No person marking","Final","No possessive classification","Head marking",NA,"No inflectional future","Present 23 remoteness distinctions","Grammatical marking","No person marking","SOV","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,"fixedpostmain","0","SvAtrvP","3"
"121","Swahili","swah1253","Bantoid","0",39,-6.5,"TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","Differentiation","And identical to with",NA,"Demonstrative word used as definite article",NA,"Subject affixes on verb","Genericnounbased",NA,"Twoway contrast","Identical","Differentiated","3rd person only but also nonsingular","Semantic and formal","Five or more","Negative affix","Plural prefix","First second threeth","Marked by reduplication","Prepositions","NounDemonstrative","NegV",NA,"NounRelative clause","Present","Inflectional optative absent","Special imperative  special negative","Second singular and second plural","No person marking","Initial","No possessive classification","Dependent marking","Productive full and partial reduplication","Inflectional future exists","Present no remoteness distinctions","No grammatical marking","Both the A and P arguments","SVO","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE",NA,"fixedpostmain",NA,"SvAtrvP",NA
"122","Tagalog","taga1270","Malayo-Polynesian","0",121,15,"TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE",NA,NA,"FALSE","TRUE","TRUE","TRUE",NA,NA,NA,"Differentiation","And different from with","Identity",NA,NA,NA,"Existential construction","Unrelated","Threeway contrast","Identical","Differentiated","No gender distinctions","Semantic","Two","Negative particle","Plural word","First twoth threeth","Marked by mixed or other strategies",NA,"Mixed","NegV",NA,"NounRelative clause","Absent","Inflectional optative present","Normal imperative  special negative","Second singular and second plural","No adpositions","Second position","No possessive classification","Other","Productive full and partial reduplication","Inflectional future exists","No past tense","Grammatical marking","No person marking","VSO","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"123","Thai","thai1261",NA,"0",101,16,"TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE",NA,NA,"Differentiation","And different from with","Identity","No definite but indefinite article","Indefinite word distinct from one","Optional pronouns in subject position","Interrogativebased","Unrelated",NA,NA,"Identical","No gender distinctions","No gender","None","Negative auxiliary verb",NA,"Firstoneth twoth threeth","No distributive numerals","Prepositions","NounDemonstrative","NegV","VOX","NounRelative clause","Present","Inflectional optative absent","Normal imperative  special negative","No secondperson imperatives","No person marking","Final","No possessive classification","Dependent marking","Productive full and partial reduplication","No inflectional future","No past tense","No grammatical marking","No person marking","SVO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","SvAtrvP","2"
"124","Tiwi","tiwi1244",NA,"0",131,-11.5,"TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE",NA,NA,"TRUE","FALSE","TRUE","FALSE","TRUE",NA,NA,NA,"And different from with","Both expressed by juxtaposition","No definite or indefinite article","No definite or indefinite article","Subject affixes on verb","Interrogativebased",NA,"Twoway contrast","Identical","Identical","3rd person singular only","Semantic","Two","Negative particle","Plural suffix","None","Marked by suffix","Prepositions","DemonstrativeNoun","NegV","VOX","NounRelative clause","Absent","Inflectional optative absent","Special imperative  special negative","Second singular and second plural","No person marking","Final","Two classes","No marking","Productive full and partial reduplication","Inflectional future exists","Present no remoteness distinctions","No grammatical marking","Both the A and P arguments","SVO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","SvAtrvP","5"
"125","Tukang Besi","tuka1247",NA,"0",123.5,-5.5,"TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE",NA,NA,"FALSE","TRUE","FALSE","TRUE","TRUE",NA,NA,NA,NA,"Identity","Demonstrative word used as definite article","No indefinite but definite article","Subject affixes on verb",NA,"Unrelated","Threeway contrast","Identical","Identical","No gender distinctions","No gender","None",NA,"No plural","First two three","No distributive numerals","Prepositions","NounDemonstrative","NegV",NA,"Mixed","Present","Inflectional optative absent","Special imperative  special negative","Second singular","No person marking","Final","Two classes","Dependent marking","Productive full and partial reduplication","Inflectional future exists","No past tense","No grammatical marking","Both the A and P arguments","VOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Turkish","nucl1301","Common Turkic","0",35,39,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","Identity","And different from with","Identity","No definite but indefinite article","Indefinite word same as one","Subject affixes on verb","Genericnounbased","Related to remote demonstratives","Twoway contrast","Different inflection","Identical","No gender distinctions","No gender","None","Negative affix","Plural suffix","Firstoneth twoth threeth","Marked by suffix","Postpositions","DemonstrativeNoun","VNeg","XOV","Relative clauseNoun","Present","Inflectional optative absent","Normal imperative  normal negative","Second singular and second plural","No person marking","Final","No possessive classification","Double marking","Productive full and partial reduplication","Inflectional future exists","Present no remoteness distinctions","Grammatical marking","Only the A argument","SOV","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",NA,NA,NA,NA,NA,NA,NA,"fixedpremain",NA,"SvAtrxP","7"
"127","Vietnamese","viet1252","Eastern Mon-Khmer","0",106.5,10.5,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE",NA,NA,"FALSE","TRUE","FALSE","TRUE","TRUE",NA,NA,NA,"And different from with","Identity","Definite word distinct from demonstrative",NA,"Optional pronouns in subject position","Interrogativebased","Related to remote demonstratives","Twoway contrast",NA,"Identical","No gender distinctions","No gender","None","Negative word unclear if verb or particle","Plural word","Various","No distributive numerals","Prepositions","NounDemonstrative","NegV","VOX","NounRelative clause","Present","Inflectional optative absent","Normal imperative  special negative","No secondperson imperatives","No person marking","Final","No possessive classification","No marking","Productive full and partial reduplication","No inflectional future","No past tense","No grammatical marking","No person marking","SVO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SvAtrvP",NA
"128","Warao","wara1303",NA,"0",-61.6666666667,9.33333333333,"TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","Differentiation",NA,"Both expressed by juxtaposition",NA,NA,NA,"Mixed","Related to nonremote demonstratives","Threeway contrast","Different stem","Identical","No gender distinctions","No gender","None","Negative affix","Plural suffix","First two three","No distributive numerals","Postpositions","DemonstrativeNoun","VNeg",NA,NA,"Present","Inflectional optative absent","Normal imperative  normal negative","Second singular and second plural","No person marking","No question particle","No possessive classification","Other",NA,"No inflectional future","Present no remoteness distinctions","No grammatical marking","Only the P argument",NA,"FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0","SvAtrvP","5"
"129","Wari'","wari1268",NA,"0",-65,-11.3333333333,"TRUE","TRUE","FALSE","TRUE","FALSE",NA,NA,"TRUE","TRUE","FALSE","TRUE",NA,NA,"FALSE","FALSE","TRUE",NA,NA,"Identity","No definite or indefinite article","No definite or indefinite article","Subject pronouns in different position",NA,"Unrelated","Threeway contrast","Different stem","Differentiated","3rd person only but also nonsingular","Semantic","Three","Negative word unclear if verb or particle","Plural word","None","No distributive numerals","Prepositions","NounDemonstrative","NegV","VOX","NounRelative clause","Present","Inflectional optative absent","Normal imperative  special negative","No secondperson imperatives","Pronouns and nouns","No question particle","Three to five classes","Head marking","Productive full and partial reduplication","No inflectional future","No past tense","No grammatical marking","Both the A and P arguments","VOS","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0","SvAtrvP","4"
"130","Western Farsi","west2369","Indo-Iranian","0",54,32,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE",NA,NA,"Identity","And different from with","Identity","No definite but indefinite article",NA,"Subject affixes on verb","Genericnounbased","Related for nonhuman reference","Twoway contrast","Different inflection","Identical","3rd person singular only","No gender","None","Negative affix","Plural suffix","Firstoneth twoth threeth","No distributive numerals","Prepositions","DemonstrativeNoun","NegV",NA,"NounRelative clause","Present","Inflectional optative absent","Normal imperative  normal negative","Second singular","Pronouns only","Initial","No possessive classification","Head marking","Productive full and partial reduplication","No inflectional future","Present no remoteness distinctions","Grammatical marking","Both the A and P arguments","SOV","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SvAtrxP","6"
"131","Western Keres","west2632",NA,"0",-107.583333333,34.9166666667,NA,NA,NA,NA,NA,"TRUE","TRUE",NA,NA,"TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","Differentiation",NA,"Identity","No definite or indefinite article","No definite or indefinite article","Subject affixes on verb","Interrogativebased",NA,"Threeway contrast","Identical",NA,NA,"No gender","None","Negative particle","Plural suffix","Firstoneth twoth threeth",NA,"Postpositions","DemonstrativeNoun","Type 1  Type 4","No dominant order",NA,"Absent","Inflectional optative absent","Normal imperative  special negative","Second singular and second plural","No person marking",NA,"No possessive classification","Head marking",NA,"No inflectional future","No past tense","No grammatical marking","Both the A and P arguments","No dominant order","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0","SvAtrvP",NA
"132","Wubuy","nung1290","Ngandi-Nunggubuyu","0",135.666666667,-13.75,"TRUE","FALSE","TRUE","TRUE","FALSE",NA,NA,NA,NA,"TRUE","TRUE","TRUE","TRUE",NA,NA,NA,NA,NA,NA,"No definite or indefinite article","No definite or indefinite article","Subject affixes on verb","Interrogativebased","Unrelated","Threeway contrast","Identical","Differentiated","In 3rd person  1st andor 2nd person","Semantic and formal","Five or more","Negative particle","Plural prefix","None",NA,"No adpositions","DemonstrativeNoun","NegV","No dominant order","NounRelative clause","Absent","Inflectional optative absent","Normal imperative  special negative","No secondperson imperatives","No adpositions","In either of two positions","Two classes","Dependent marking","Productive full and partial reduplication",NA,NA,NA,"Both the A and P arguments","No dominant order",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","SvAtrvP",NA
"133","Yagua","yagu1244",NA,"0",-72,-3.5,"TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE",NA,NA,"Both expressed by juxtaposition","No definite or indefinite article","No definite or indefinite article","Subject clitics on variable host","Special","Related for nonhuman reference","Twoway contrast","Identical",NA,"No gender distinctions",NA,NA,"Negative particle","Plural suffix",NA,NA,"Postpositions","DemonstrativeNoun","NegV",NA,"NounRelative clause","Absent","Inflectional optative absent","Normal imperative  normal negative","No secondperson imperatives","Pronouns and nouns","Second position","No possessive classification","Head marking","No productive reduplication","No inflectional future","Present 4 or more remoteness distinctions","Grammatical marking","Both the A and P arguments","No dominant order","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SvAtrvP",NA
"134","Yaqui","yaqu1251","Southern Uto-Aztecan","0",-110.25,27.5,"TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE",NA,NA,"Differentiation","And different from with","Identity","No definite but indefinite article","Indefinite word distinct from one","Mixed","Interrogativebased","Unrelated",NA,NA,"Differentiated","No gender distinctions","No gender","None","Negative particle","Plural suffix","Oneth twoth threeth",NA,"Postpositions","DemonstrativeNoun","NegV",NA,"NounRelative clause","Present","Inflectional optative absent","Special imperative  special negative","Second singular and second plural","No person marking","Initial","No possessive classification","Double marking","Productive full and partial reduplication","Inflectional future exists","Present no remoteness distinctions","Grammatical marking","No person marking","SOV","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Yoruba","yoru1245","Yoruboid","0",4.33333333333,8,"TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE",NA,NA,"FALSE","TRUE","FALSE","TRUE","TRUE",NA,NA,"Differentiation","And identical to with","Differentiation","No definite or indefinite article","No definite or indefinite article","Optional pronouns in subject position","Genericnounbased","Unrelated","Twoway contrast","Identical","Differentiated","No gender distinctions","No gender","None","Negative word unclear if verb or particle","Plural word","Oneth twoth threeth","Marked by reduplication","Prepositions","NounDemonstrative","NegV",NA,"NounRelative clause","Absent","Inflectional optative absent",NA,"No secondperson imperatives","No person marking","No question particle","No possessive classification","Head marking","Productive full and partial reduplication","No inflectional future","No past tense","No grammatical marking","No person marking","SVO","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0","mixed","5"
